Seq | Data_Center_Code | Parameter_Name | Unit | Places_Before | Places_After | Minimum_Value | Maximum_Value | Originally_Entered_By | Originally_Parameter_Description
90000090 | 90 | % Sfc light | % | 3 | 4 | 0.00000 | 100.00000 | P. Strain | Percentage surface light
90000049 | 90 | Acidified calcium | umole/kg | 3 | 2 | 0.00000 | 20.00000 | P. Strain | Acidified calcium
90000275 | 20 | Ag | mg/m3 | 2 | 2 | -1.00000 | 10.00000 | BCPIERRE | Silver - filtered not preserved
90000235 | 20 | Ag-particulate | g/kg | 2 | 2 | -1.00000 | 20.00000 | BCPIERRE | Silver particulate
90000308 | 20 | Ag-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Silver- Sediment
90000252 | 20 | Al | mg/m3 | 4 | 2 | -1.00000 | 5000.00000 | BCPIERRE | Aluminium - filtered
90000047 | 90 | Al - filtered | mg/m3 | 6 | 2 | 0.00000 | 50000.00000 | P. Strain | Al - filtered
90000039 | 90 | Al - unfiltered | mg/m3 | 6 | 2 | 0.00000 | 200000.00000 | P. Strain | Al - unfiltered
90000006 | 90 | Alkalinity | umole/kg | 4 | 3 | 0.00000 | 10000.00000 | P. Strain | Total alkalinity
90000242 | 20 | Al-particulate | g/kg | 3 | 1 | -1.00000 | 200.00000 | BCPIERRE | Aluminium - particulate
90000306 | 20 | Al-Sediment  | ug/g | 2 | 2 | 0.00000 | 20000.00000 | BCPIERRE | Aluminium - Sediment 
90000028 | 90 | Ammonia | mmol/m3 | 4 | 2 | 0.00000 | 500.00000 | P. Strain | Ammonia
90000069 | 90 | AOU | umole/kg | 4 | 2 | -200.00000 | 500.00000 | P. Strain | Apparent oxygen utilization (AOU)
90000255 | 20 | As | mg/m3 | 3 | 2 | -1.00000 | 500.00000 | BCPIERRE | Arsenic - filtered
90000237 | 20 | As-particulate | ug/g | 5 | 1 | -1.00000 | 50000.00000 | BCPIERRE | Arsenic - particulate
90000310 | 20 | As-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Arsenic- Sediment
90000143 | 20 | ATP | mg/m3 | 2 | 6 | 0.00000 | 8.00000 | DEVINEL | Biomass estimator using ATP activity
90000312 | 20 | Au-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Gold - Sediment
90000258 | 20 | B | mg/m3 | 10 | 10 | -1.00000 | 1000.00000 | BCPIERRE | Boron - filtered not preserved
90000282 | 20 | Ba | mg/m3 | 3 | 2 | -1.00000 | 100.00000 | BCPIERRE | Barium - filtered not preserved
90000062 | 90 | Ba - filtered | mg/m3 | 3 | 2 |  |  | P. Strain | Ba - filtered
90000199 | 20 | Ba - unfiltered_01 | mg/m3 | 3 | 2 |  |  | MARY | Barium / Unfiltered_01
90000126 | 20 | Bacterial Prod. | mg C/m**3/h | 2 | 4 | 0.00010 | 99.99990 | MARY | Bacterial Production BODC - BPRD
90000246 | 20 | Ba-particulate | ug/g | 4 | 0 | -1.00000 | 2500.00000 | BCPIERRE | Barium - particulate
90000314 | 20 | Ba-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Barium - Sediment
90000256 | 20 | Be | mg/m3 | 1 | 2 | -1.00000 | 2.00000 | BCPIERRE | Beryllium - filtered not preserved
90000221 | 20 | Be-particulate | ug/g | 2 | 1 | -1.00000 | 20.00000 | BCPIERRE | Beryllium - particulate
90000316 | 20 | Be-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Beryllium - Sediment
90000223 | 20 | Bi-particulate | ug/g | 1 | 2 | -1.00000 | 100.00000 | BCPIERRE | Bismuth - particulate
90000318 | 20 | Bi-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Bismuth - Sediment
90000095 | 90 | BOD - 5 day | mmol/m3 | 4 | 1 | 0.00000 | 9999.00000 | P. Strain | Bacterial oxygen demand, 5 day
90000218 | 20 | B-particulate | g/kg | 10 | 10 | -1.00000 | 1000.00000 | BCPIERRE | Boron - particulate
90000093 | 90 | BUG_MEAS - diameter | mm | 4 | 3 |  |  | Mary Kennedy | diameter measurement
90000091 | 90 | BUG_MEAS - length | mm | 4 | 3 |  |  | Mary Kennedy | length measurement
90000092 | 90 | BUG_MEAS - width | mm | 4 | 3 |  |  | Mary Kennedy | width measurement of a bug
90000058 | 90 | Butane | ppmv | 3 | 2 | 0.00000 | 20.00000 | P. Strain | Butane
90000297 | 20 | C content | mg/ind | 4 | 2 | 0.00000 | 9999.99000 | MARY | Carbon content per individual
90000257 | 20 | Ca | mg/l | 3 | 2 | -1.00000 | 100.00000 | BCPIERRE | Calcium - filtered not preserved
90000010 | 90 | Calcium | p | 3 | 3 | 0.00000 | 15.00000 | P. Strain | Calcium
90000138 | 20 | Calorimetry | cal/mg | 6 | 3 | 0.00000 | 999999.99900 | BCPIERRE | Calories measured using a Bomb Calorimeter?
90000219 | 20 | Ca-particulate | g/kg | 3 | 2 | -1.00000 | 400.00000 | BCPIERRE | Calcium - particulate
90000007 | 90 | Carbonate | umole/kg | 4 | 3 | 0.00000 | 9999.00000 | P. Strain | Carbonate ion concentration
90000120 | 20 | Carbonate alkalinity | umole/kg | 4 | 3 | 0.00000 | 9999.00000 | BCMESD | Carbonate alkalinity
90000320 | 20 | Ca-Sediment | ug/g | 2 | 2 | 0.00000 | 5000.00000 | BCPIERRE | Calcium - Sediment
90000075 | 90 | CCl4 | pmole/kg | 4 | 2 | -0.50000 | 100.00000 | P. Strain | Carbon tetrachloride (CCl4)
90000254 | 20 | Cd | mg/m3 | 1 | 3 | -1.00000 | 5.00000 | BCPIERRE | Cadmium - filtered not preserved
90000046 | 90 | Cd - filtered | mg/m3 | 2 | 3 | 0.00000 | 10.00000 | P. Strain | Cd - filtered
90000038 | 90 | Cd - unfiltered | mg/m3 | 2 | 3 | 0.00000 | 50.00000 | P. Strain | Cd - unfiltered
90000293 | 20 | CDOM | mg/m3 | 4 | 2 | 0.00000 | 1500.00000 | MARY | Coloured Dissolved Organic Matter / CTD
90000233 | 20 | Cd-particulate | ug/g | 2 | 2 | -1.00000 | 50.00000 | BCPIERRE | Cadmium - particulate
90000322 | 20 | Cd-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Cadmium - Sediment
90000324 | 20 | Ce-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Cesium - Sediment
90000023 | 90 | Cesium-137 - total | mBq/l | 3 | 2 | 0.00000 | 300.00000 | P. Strain | Cesium-137 - unfiltered
